paper_name,paper_authors,source_name,keywords,pmc_technique,pmc_criteria,vms_technique,vms_criteria,vmp_technique,vmp_criteria,experiment_type,experiment_platform,scenario_pms,scenario_vms,scenario_dataset,used_metrics,improved_metrics,vms_amount,contribution,reference_number
Virtual Machine Consolidation with Multiple Usage Prediction for Energy-Efficient Cloud Data Centers,Nguyen Hieu; Mario Francesco; Antti Yla-Jaaski,IEEE Transactions on Services Computing,Virtual machine consolidation; virtual machine migration; multiple resource prediction; cloud computing; data centers,Static Threshold + Prediction Model (LR),CPU,Minimum Resource Temperature (MRT),"CPU, RAM",Heuristic (PABFD + MUP) + Prediction Model (LR),"CPU, Power Consumption, RAM",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1600, 1473],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1740, 870],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab + Google Cluster Data + Synthetical,"Average SLA Violation,Energy Consumption,Number of Active PMs,Number of Cold Spots,Number of Hot Spots,Number of Power State Changes,Number of VM Migrations","Energy Consumption,Number of Active PMs,Number of Cold Spots,Number of Hot Spots,Number of Power State Changes,Number of SLA Violations,Number of VM Migrations",VMs are selected individually,PMC + VMS + VMP,70
Toward a hierarchical and architecture-based virtual machine allocation in cloud data centers,Ali Rahmanian; Abbas Horri; Gholamhossein Dastghaibyfard,International Journal of Communication Systems,data center architecture; dynamic consolidation; power efficiency; resource management; virtualization,Prediction Model,CPU,Minimum Migration Time (MMT) + Dynamic Threshold Maximum Fit (DTHMF) + Minimization of Migrations (MM),"CPU, RAM, Bandwidth",Heuristic (PABFD + UMC) + Multi-Criteria-Decision-Making (TOPSIS),Not Available,Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [870, 1740, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Data Transfer,Energy Consumption,Number of Active Modules,Number of Active PMs,Number of Active Racks,Number of PM Shutdowns,Number of VM Migrations,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH),Switch Energy Consumption","Data Transfer,Energy Consumption,Number of Active Modules,Number of Active PMs,Number of Active Racks,Number of PM Shutdowns,Number of VM Migrations,Number of VM Migrations,SLA Violation (SLAV),Switch Energy Consumption",VMs are selected individually,PMC + VMP,75
A learning automata-based algorithm for energy and SLA efficient consolidation of virtual machines in cloud data centers,Milad Ranjbari; Javad Torkestani,Journal of Parallel and Distributed Computing,Cloud computing; Resource management; Energy consumption; Service level agreement; Virtual machine migration,Static Threshold + Prediction Model (LA),CPU,Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (PABFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV)",VMs are selected individually,PMC,76
A Feasibility Study on Sustainability-Driven Infrastructure Management in Cloud Data Centers,Joseph Roque; Lia Chauvel; Moayad Aloqaily; Burak Kantarci,2018 IEEE Canadian Conference on Electrical & Computer Engineering (CCECE),Cloud computing; data centers; Power Usage Efficiency; sustainability; Virtualization; VM migration,Static Threshold + Dynamic Threshold,CPU,Random Selection (RS),Not Available,Heuristic (PUEBFD),"Power Consumption, Power Usage Effectiveness, Power Consumption of CS",Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Not available,"Average Power (kW),Average PUE (kWh),Average SLA Violation,Energy Consumption,Greenhouse Gas Emissions,Number of PM Shutdowns,Number of VM Migrations","Average PUE (kWh),Energy Consumption,Greenhouse Gas Emissions,Number of PM Shutdowns",VMs are selected individually,PMC+VMP,77
A reliable energy-aware approach for dynamic virtual machine consolidation in cloud data centers,Monireh Sayadnavard; Abolfazl Haghighat; Amir Rahmani,The Journal of Supercomputing,Cloud computing; VM consolidation; Live migration; Energy efficiency; Reliability; Markov chain,Static Threshold + Prediction Model (LR + MC),"CPU, Occupation Time, Mean First Passage Time",Ratio of CPU Usage Weight to RAM Usage Weight (RCUWRUW),"CPU, RAM",Prediction Model (CTMkC),"Power Consumption, Reliability of PM, Occupation Time",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2260],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 1700, 3750, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,PMC + VMS + VMP,78
Energy Efficient Quality of Service Aware Virtual Machine Migration in Cloud Computing,Neeraj Sharma; Priyanka Sharma; Ram Guddeti,2018 4th International Conference on Recent Advances in Information Technology (RAIT),Cloud Computing; Data Center; First-it; Physical Machine; Virtual Machine; Energy Efficiency,Static Threshold,CPU,Minimum Migration Cost (MMC),"Migration Cost, SLA penalty",Heuristic (FFD),Not Available,Simulation,CloudSim,"{
 ""Number of PMs"": [1023],
 ""Number of PM Types"": 3,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2, 4, 12],
 ""Frequency of CPU (in MIPS)"": [2660, 3067],
 ""Amount of RAM (in GB)"": [4, 8, 16],
 ""Amount of Storage (in GB)"": [160, 250, 500],
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": 3,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1, 2 ,3],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 1500],
 ""Amount of RAM (in MB)"": [500, 1000, 2000],
 ""Amount of Storage (in GB)"": [40, 60, 80],
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Synthetical,"Energy Consumption,Resource Utilization","Energy Consumption,Resource Utilization",VMs are selected as a group,VMP,79
CompVM: A Complementary VM Allocation Mechanism for Cloud Systems,Haiying Shen; Liuhua Chen,IEEE/ACM Transactions on Networking,Cloud; service-level agreement (SLA); virtual machine (VM); resource provisioning,Not Available,"CPU, RAM",Complimentary VM (CompVM),CPU + RAM,Heuristic (FF),"CPU, RAM",Real + Simulation,Xen,"{
 ""Number of PMs"": [7],
 ""Number of PM Types"": 1,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1500, 2000],
 ""Amount of RAM (in GB)"": [1.536, 2],
 ""Amount of Storage (in GB)"": [60],
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [4, 6, 8, 10, 12, 14, 1000, 2000, 3000],
 ""Number of VM Types"": 1,
 ""Distribution of VMs"": ""Available"",
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500],
 ""Amount of RAM (in MB)"": [256, 512],
 ""Amount of Storage (in GB)"": [8],
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab + Google Cluster Data,"Average SLA Violation,Number of Active PMs,Number of SLA Violations,Number of VM Migrations","Average SLA Violation,Number of Active PMs,Number of SLA Violations,Number of VM Migrations",VMs are selected as a group,VMS + VMP,80
QoS Aware Energy Efficient VM Consolidation Techniques for a Virtualized Data Center,Anurina Tarafdar; Sunirmal Khatua; Rajib Kas,2018 IEEE/ACM 11th International Conference on Utility and Cloud Computing (UCC),cloud computing; deadline; energy efficiency; green computing; prediction; virtual machine,Static Threshold + Prediction Model (MkC),"CPU, VM Deadline",Deadline Aware Prediction Based Migration (DAPBM),CPU,Heuristic (MBFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 1700, 1700, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Average Percentage Increase in Execution time (APIE),Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Average Percentage Increase in Execution time (APIE),Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,PMC+VMS,82
A prediction-based and power-aware virtual machine allocation algorithm in three-tier cloud data centers,Mehran Tarahomi;Mohammad Izadi,International Journal of Communication Systems,Cloud computing; dynamic consolidation; power efficiency; three-tier cloud data centers; virtual machine allocation; virtualization,Static Threshold + Prediction Model (LR + WMA),CPU,Minimum Migration Time (MMT) + Maximum Correlation (MC) + Maximum Requested Resources (MRR) + Minimum Downtime Migration (MDM),"CPU, RAM, Bandwidth",Heuristic (HPNBFD) + Prediction Model (EPA),"Power Consumption, Future Module Load, Future Rack Load",Simulation,CloudSim,"{
 ""Number of PMs"": [960],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1561, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [2500, 2000, 1000, 500],
 ""Amount of RAM (in MB)"": [870, 1740, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),Prediction Accuracy,SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Prediction Accuracy,SLA Violation (SLAV)",VMs are selected individually,VMP,83
Enabling green computing in cloud environments: Network virtualization approach toward 5G support,"Jitendra Kumar Verma, Sushil Kumar, Omprakash Kaiwartya, Jaime Lloret, C. P. Katti, Rupak Kharel",Transactions on Emerging Telecommunications Technologies,network virtualization; 5G; green computing,Static Threshold + Dynamic Threshold,CPU,Median Migration Time (MeMT) + Smallest Void Detection (SVD) + Maximum Fill Technique (MFT),"CPU, RAM, Bandwidth",Heuristic (BFD),CPU,Simulation,CloudSim,"{
 ""Number of PMs"": [1200],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 3750, 1700, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab + Synthetical,"Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,VMS,86
Energy-Aware Dynamic Virtual Machine Consolidation for Cloud Datacenters,Hui Wang; Huaglory Tianfield,IEEE Access,Cloud computing; green cloud computing; dynamic virtual machine consolidation; virtual machine placement; cloud datacenter,Static Threshold + Dynamic Threshold + Prediction Model (LR + LRR),CPU,High CPU Utilization Based Migration (HS),CPU,Heuristic (SABFD),CPU,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [50, 100, 150, 200],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [2500, 2000, 1000, 500],
 ""Amount of RAM (in MB)"": [850, 3750, 1700, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Mean Time Before PM Shutdown,Mean Time Before VM Migration,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy-SLA Violation (ESV),Mean Time Before PM Shutdown,Mean Time Before VM Migration,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,VMS + VMP,88
Resource scheduling method based on bayes for cloud computing,"Juan Wang, Xiuyan Sun, Wenmin Song, Linlin Tang",Journal of Information Hiding and Multimedia Signal Processing,Cloud Computing; Resource Scheduling; Bayes theory; Energy Efficiency; CloudSim,Static Threshold,CPU,Maximum Correlation (MC) + Bayesian Migration Heuristic (BMH),CPU,Heuristic (UPCBFD),"CPU, Power Consumption, RAM",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,SLA Violation (SLAV)",VMs are selected individually,VMS + VMP,89
Adaptive selection of dynamic VM consolidation algorithm using neural network for cloud resource management,Joseph Witanto; Hyotaek Lim; Mohammed Atiquzzaman,Future Generation Computer Systems,Cloud computing; Infrastructure as a service; Resource management; Dynamic consolidation; Virtual machine migration; Neural network,Static Threshold + Prediction Model (LR),CPU,Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (BFD) + Heuristic (ACFFD),"CPU, RAM",Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Average Rank,Energy Consumption,First Rank Occurrence,Performance Degradation due to Migration (PDM),Relative Score to Best One,SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Average Rank,Energy Consumption,First Rank Occurrence,Relative Score to Best One,SLA Violation (SLAV)",VMs are selected individually,PMC + VMP,90
A Novel Self-Adaptive VM Consolidation Strategy Using Dynamic Multi-Thresholds in IaaS Clouds,Lei Xie; Shengbo Chen; Wenfeng Shen; Huaikou Miao,Future Internet,self-adaptive VM consolidation; dynamic multi-thresholds; energy consumption; QoS; IaaS clouds,Dynamic Threshold,"CPU, RAM, Bandwidth",Minimization of Migrations (MM),"CPU, RAM, Bandwidth",Heuristic (BF),"CPU, RAM, Bandwidth",Simulation,CloudSim,"{
 ""Number of PMs"": [50],
 ""Number of PM Types"": 4,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [2000, 2500, 3000, 4000],
 ""Amount of RAM (in GB)"": [1, 2, 4, 8],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [0.5, 0.8, 1]
 }","{
 ""Number of VMs"": [200],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [1000, 1500, 2000, 3000],
 ""Amount of RAM (in MB)"": [500, 1000, 2000, 4000],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": [100, 200, 400]
 }",Not available,"Energy Consumption,Number of Active PMs,Number of VM Migrations,Overall SLA Violation","Energy Consumption,Number of Active PMs,Number of VM Migrations,Overall SLA Violation",VMs are selected individually,PMC,91
Adaptive Energy-Aware Algorithms for Minimizing Energy Consumption and SLA Violation in Cloud Computing,Rahul Yadav; Weizhe Zhang; Omprakash Kaiwartya; Prabhat Singh; Ibrahim Elgendy; Yu-Chu Tian,IEEE Access,Cloud computing; cloud data center; energy-efficiency; green computing; host overloaded detection; regression method; service level agreements,Dynamic Threshold,"CPU, Safety parameter, Scheduling Interval, Number of VMs, Maximum Migration Time",Bandwidth-Aware Dynamic (Bw),"CPU, RAM, Bandwidth, Mean Ping Time",Heuristic (MBFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 4,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [4],
 ""Frequency of CPU (in MIPS)"": [2700, 3500, 3600],
 ""Amount of RAM (in GB)"": [8],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 3750, 1700, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),Performance Metric (Pertric),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Metric (Pertric),SLA Violation (SLAV)",VMs are selected individually,PMC+VMS,92
An adaptive heuristic for managing energy consumption and overloaded hosts in a cloud data center,Rahul Yadav; Weizhe Zhang; Keqin Li; Chuanyi Liu; Muhammad Shafiq; Nabin Kumar Karn,Wireless Networks,Cloud computing; Data center; Energy Consumption; Host overloaded detection; Service level agreements; VM selection,Dynamic Threshold + Prediction Model (LmsReg),CPU,Minimum Utilization Prediction (MuP),CPU,Heuristic (MBFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 4,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [4],
 ""Frequency of CPU (in MIPS)"": [2700, 3500, 3600],
 ""Amount of RAM (in GB)"": [8],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1700, 3750, 850],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Overall SLA Violation,Performance Ratio Metric (PRM)","Energy Consumption,Number of PM Reactivations,Number of VM Migrations,Overall SLA Violation,Performance Ratio Metric (PRM)",VMs are selected individually,PMC + VMS,93
Minimizing SLA violation and power consumption in Cloud data centers using adaptive energy-aware algorithms,Zhou Zhou; Jemal Abawajy; Morshed Chowdhury; Zhigang Hu; Keqin Li; Hongbing Cheng; Abdulhameed Alelaiwi; Fangmin Li,Future Generation Computer Systems,Cloud computing; Energy Efficiency; CPU intensive task; I/O intensive task; VM deployment; Service Level Agreement; Data Center,Dynamic Threshold,CPU,Maximum ratio of CPU utilization to memory utilization (MRCU) + Minimum the product of a CPU utilization and a memory utilization (MPCU),"CPU, RAM",Heuristic (MEEBFD),"Power Consumption, Energy Efficiency, SLATAH, PDM, SLA Violations",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 1516],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [2500, 2000, 1000, 500],
 ""Amount of RAM (in MB)"": [850, 3750, 1700, 610],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy Efficiency,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy Efficiency,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,PMC + VMS + VMP,96
Virtual machine migration algorithm for energy efficiency optimization in cloud computing,Zhou Zhou; Junyang Yu; Fangmin Li; Fei Yang,Concurrency and Computation: Practice and Experience,Cloud computing; energy consumption management; VM migration; VM selection,Static Threshold + Prediction Model (AR),CPU,Utilization Rate (UR),"CPU, RAM",Random,"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [1000],
 ""Number of PM Types"": 3,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [1000, 2000, 3000],
 ""Amount of RAM (in GB)"": [1, 2, 4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [300],
 ""Number of VM Types"": 3,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [100, 300, 500],
 ""Amount of RAM (in MB)"": [128, 256, 512],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Not available,"Energy Consumption,Performance Degradation due to Migration (PDM),Prediction Accuracy,SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Prediction Accuracy,SLA Violation (SLAV)",VMs are selected individually,PMC + VMS + VMP,97
